"Beginnings","Chozo Ruins - Ruins Entrance","The history of the Chozo stretches back into ancient times, so far into the fog of the past that we know not where our ancestors came from. One thing is clear, however: the Chozo who colonized Tallon IV made a conscious choice to eschew a civilization of advanced technology. They chose to live in harmony with nature, guided by the providence of the universe. As this city grows, we plan to honor them with written tributes, carvings etched in stone to remind us always of their legacy."
"Harmonization","Chozo Ruins - Ruined Nursery","Many long years have passed since we Chozo first took root in this land. The passage of time has always been a source of fascination to us; it is the belief of many Chozo sages that the truths of the universe hide within the tumbling currents of time's flow. Even as we search for answers there, however, we find illumination in other, unexpected places. We know not how the ability has come to us, but recently many Chozo have begun to sense things beyond the realm of ordinary perception. Strange sights and inexplicable sensations flood our minds, filling us with visions of past and future. We take this growing ability to be a sign of our burgeoning harmonization with the infinite; perhaps, finally, the universe's secrets are becoming known to us."
"Purification","Chozo Ruins - Ruined Fountain","Our sanctuary grows by the day. We Chozo know much of technology, but we do not worship it. Our home here on Tallon IV will be a place of simplicity: structures hewn from the stone, bridges woven with branches, hallways caressed by pure waters. We build around the ancient and noble trees, drawing from their strength and giving them our own in return. All that is wild will flow around us here; our race will be just one more group of creatures in the knit of nature. It is our hope that such a state will bring with it great wisdom and a greater understanding of the nature of the universe."
"Worm","Chozo Ruins - Crossway","Many Chozo are gifted with the distant sight, and even more begin to learn it as our harmonization with the universe becomes more and more complete. We peer forwards, seeing prophecy in the ripples of the water, hearing rumors of coming days on the breath of the wind. Though we celebrate the distant sight, many of these visions are dark - the worst of the prophecies, and the most common, tells of the coming of the Worm. Born from parasites, nurtured in a poisoned womb, the Worm grows, devouring from within, until the world begins to rot. Not all prophecies come to pass, of course, but we cannot help but fear this dark portent."
"Meteor Strike","Chozo Ruins - Watery Hall","Unforeseen by sages, a meteor came as if from nowhere, casting a dark shadow of debris over the land with the violence of its impact. Its destructive force spent, the fallen star burned itself out rapidly, and the incident should have faded into memory...but the meteor brought with it corruption. A Great Poison burst forth into the land, a strange energy that clawed at natural life with a ferocity that seemed almost sentient. Bound by our ignorance of this phenomenon, we Chozo could only watch in horror as this dark force slowly began to spread across the surface of Tallon IV."
"Spreading Evil","Chozo Ruins - Sun Tower","The cries of this dying land echo in our ears as we Chozo watch the Great Poison seep ever further into the living pulse of the planet. The dark energy sinks into the trees and waters, devouring all life. Peaceful beasts die by the thousands - some creatures survive, but their forms grow as twisted and evil as the force that fell from the sky. Many of these mutated monstrosities remain small enough to do little harm, but others grow enormous and threaten our very existence. One such beast defiles our sacred fountain, disgorging poison from its foul form, replacing pure, flowing water with cascades of creeping death. Even in the face of such horror, we Chozo do not turn in fear. We are all that stands in the way of this Great Poison, and it is our duty to contain it."
"Fountain","Chozo Ruins - Vault","The future is a vague thing, ever-changing and always in doubt. Even if we Chozo could gain the ability to foresee the future, it would be a hollow gift, for we could never hope to control what has yet to occur. The fountain is an example of this - the day may come when its water dries up, and there is nothing we could do to stop such a tragedy. But we do know this: unlike the uncertain flow of water, the power of our will is strong and enduring. The will of the Chozo will never dry up."
"Cipher","Phendrana Drifts - Ice Ruins West","As the Great Poison reaches ever further into the planet, we Chozo begin to feel the gnawings of despair - before it is too late, we now make our last stand. We have begun to build a temple to contain this darkness; at its heart we will place a Cipher, a mystical lock powered by twelve Artifacts and filled with as much power as we Chozo can harness. We wonder, though - even when we are done, will it be too late? And will the power of the temple, and the Cipher itself, prove strong enough to hold back the poisonous tide that even now swells within the ground, threatening all life?"
"Great Poison","Chozo Ruins - Furnace","What is this otherworldly pestilence that infests the land, seeking out life in its blind need for corruption? And where did the meteor that brought it originate? Was it crafted by alien hands or is it a roving chunk of a planet that suffered a violent end? Our minds quail in horror at the thought that long ago, in some corner of the universe as yet unseen by our eyes, an entire planet was perhaps once coated with this Great Poison. Whatever cataclysm may have ruptured that doomed place must have been mighty, indeed...and if other meteors from it spread through space, bearing this evil to the far corners of the universe... We hold fast to the hope that this is not so, that the only surviving remnants of this evil are here, on Tallon IV. Then, at least, there is hope for its eradication."
"Entrusted One","Phendrana Drifts - Phendrana Canyon","So many creatures suffer beneath the blight upon the land, and we Chozo are no exception. But for all of our pain, we can at least believe in the promise of the future; unlike the apparitions that have begun to appear, entities that feel neither hope nor solace. We call these doomed souls The Turned - taking ghostly Chozo forms, they know no reason beyond the instinctive urge to protect our lands. They will likely exist in limbo forever. We have come to believe that a time may never come when we can once again open the door and banish the darkness we've contained. Even so, our vigilance will forever remain. We believe that on some far-off day, a savior will come and continue what we have begun. For that savior, we will leave our ancient weapons and armor - the soul who can gather them will be the Entrusted One, the only being who can reverse the evil that grows here."
