"Parasite","Frigate Orpheon - Emergency Evacuation Area","Interstellar vermin.​ Travel in swarms. ​Indigenous to Tallon IV,​ a single Parasite is harmless to larger life-​forms.​ However,​ they tend to travel in large groups,​ swarming over potential prey.​ Such swarms can be dangerous.[1]","Yes","Must be scanned while on the Frigate Orpheon."
"Auto Turret","Frigate Orpheon - Deck Beta Security Hall","Auto Defense Turret. ​Use Missiles to break outer casing.[2]","No","Has various locations"
"Zoomer","Tallon Overworld - Tallon Canyon","Anchors itself to walls and other surfaces.​ Avoid contact with spikes.​ A basic nerve center located directly above the Zoomer'​s mandibles detects nutrients.​ Sharp spines protect it from casual predators,​ but the lack of a reinforced carapace makes the Zoomer vulnerable to any indirect attacks.[3]","No","Has various locations."
"Geemer","Tallon Overworld - Tallon Canyon","Wall-​crawling mollusk with retractable spikes.​ ​The Geemer is an evolutionary offshoot of the Zoomer family.​ When threatened,​ it extends lethal spikes and retracts its head deep into its armored carapace.[4]","No","Has various locations."
"Sap Sac","Tallon Overworld - Tallon Canyon","Chemical reaction within sac produces violent explosion when agitated. ​Because of its irresistible odor and sweet nectar,​ the Sap Sac was nearly eaten out of existence.​ The evolution of an explosive chemical sac saved it;​ now only brave or ingenious creatures dare to devour it.[5]","No","Has various locations."
"Bloodflower","Tallon Overworld - Root Tunnel","The Bloodflower is able to eject toxic spores. Toxins are poisonous even to the Bloodflower itself. Three mouth-nodules protrude from the stalk beneath the flower, each with a rudimentary brain cluster and the ability to spew toxic fumes at anything with a five-meter radius. The spores ejected from the Stigma at the center of the flower are sufficient to kill this creature if they explode in its vicinity.[6]","No","Has various locations."
"Seedling","Tallon Overworld - Temple Hall","Plant based ground feeder. Dorsal Spines can be ejected in self-defense.[7]","No","Has various locations."
"Scarab","Chozo Ruins - Nursery Access","​​Exploding parasites that can embed their bodies in solid rock. Scarabs think nothing of sacrificing themselves for the safety of their swarm.​ When a hostile life-​form is sighted,​ they block its progress by embedding themselves in floors and walls.​ Embedded Scarabs violently self-​destruct when threatened.[8]","No","Also in Phendrana Drifts"
"Beetle","Tallon Overworld - Canyon Cavern","Burrowing insect with a resilient carapace.​ Extremely aggressive. Insect'​s massive mouth enables it to tunnel through solid rock at high speeds.​ Above ground,​ Beetles can cover short distances rapidly.​ They attack anything that moves near their lair.​​​​​​[9]","No","Also in Chozo Ruins"
"Plated Beetle","Chozo Ruins - Ruined Shrine","Well-armored burrowing insect. Vulnerable only in the rear abdomen.",,
"Creature's thick cranial plating can repel frontal attacks. This gives it an advantage in combat, allowing it to make ramming attacks. Only surfacing when it detects vibrations above, it then maneuvers itself so as to always face its rival, keeping its exposed abdomen protected.[10]","No","Is a sub boss, but will later reappear",,
"War Wasp","Chozo Ruins - Main Plaza","Airborne insect equipped with a venomous stinger capable of shearing steel.​ ​The War Wasp rarely strays far from its hive unless it is pursuing an immediate threat.​ It attacks with no regard for its own survival,​ dive-​bombing its enemy with stinger extended.​ Fast-​working toxins from the stinger can incapacitate most small organisms.[11]","No","Has various locations"
"Ram War Wasp","Chozo Ruins - Hive Totem","Airborne predator.​ Circles its prey and then strikes. ​The War Wasps are the only species on Tallon IV to evolve a true hive mind.​ Nesting in damp,​ dark places,​ Ram War Wasps emerge in small groups when threatened and circle their enemy at high speeds,​ disorienting it.​ Striking from all sides as a single intelligence,​ they can fell huge organisms.[12]","Yes","Are a part of the Hive Mecha battle"
