header,header,header,header,header,header,header,header,header
Alpha Blogg,Torvus Bog - Hydrodynamo Shaft,The Alpha Blogg is the largest and strongest of its pack. It can fire potent sonic stun blasts in battle. The blasts will disrupt your Visor and weapon control systems if they hit you. Its three titanic maws are potent weapons. Target the creature's mouth areas to inflict damage upon it.,Yes,Can be scanned while it is in the Hydrodynamo Shaft and while battling it in the Main Hydrochamber,https://www.metroidwiki.org/wiki/File:Alpha_Blogg_mp2_Logbook.png,Aether,Aquatic,Large Aquatic
Blogg,Torvus Bog - Hydrodynamo Station,"The Blogg uses speed and agility to close in on prey. It will batter foes with a ramming attack, then use its three tooth-filled maws to finish the job. Bloggs have a weak spot inside their mouths: the rest of their bodies are covered with a thick, damage-resistant hide.",No,Can also be found in several other locations in Torvus Bog,https://www.metroidwiki.org/wiki/File:Blogg_mp2_Logbook.png,Aether,Aquatic,Large Aquatic
Bloggling,Torvus Bog - Hydrodynamo Station,"Young Blogg are weaker than their parents, but still violent. Their powerful jaws have yet to form, and they lack the defense abilities found in adult Blogg. They must rely on speed and agility for protection if attacked without the protection of their elders.",No,Notes,https://cdn.wikimg.net/en/metroidwiki/images/thumb/c/c2/Bloggling_mp2_Logbook.png/60px-Bloggling_mp2_Logbook.png,Aether,Aquatic,Small Aquatic
Hydlings,Torvus Bog - Torvus Lagoon,"Hydlings are small water dwellers. They travel in packs for safety, roaming the water in search of bits of food. Their only defense is a bite, though their small teeth are sharp enough to pierce metal.",No,Hydlings can also be found in the Path of Roots and in the Hydrodynamo Shaft,https://cdn.wikimg.net/en/metroidwiki/images/thumb/b/ba/Hydling_mp2_Logbook.png/45px-Hydling_mp2_Logbook.png,Aether,Aquatic,Small Aquatic
Alpha Sandigger,Agon Wastes - Agon Temple,"This appears to be a Sandigger pack leader, larger and stronger than the normal members of its kind. Target both of its heads to damage it.",Yes,Must be scanned before it is possessed,https://www.metroidwiki.org/wiki/File:Alpha_Sandigger_mp2_Logbook_01.png,Aether,Ground,Predators
Alpha Splinter,Great Temple - Temple Sanctuary,"Splinter war packs are dominated by the largest male. Alpha Splinters use their tremendous strength, size, and speed to subdue and kill prey, paving the way for their smaller broodlings.",Yes,Must be scanned before it is possessed,https://www.metroidwiki.org/wiki/File:Alpha_Splinter_mp2_Logbook_01.png,Aether,Ground,Predators
Grenchler,Torvus Bog - Forgotten Bridge,"The amphibious Grenchler lurks in marsh areas in search of prey. Fearless, it will spring from hiding and attack anything that moves. If it is unable to fell its prey with its powerful jaws, it will fire a potent burst of energy at them. Grenchlers have one weak spot - a genetic defect makes the shell on their back susceptible to explosive blasts. Remove the shell to expose a vulnerable nerve center, then target it to eliminate the creature.",No,Located throughout Torvus Bog,https://www.metroidwiki.org/wiki/File:Grenchler_mp2_Logbook.png,Aether,Ground,Predators
Sandigger,Agon Wastes - Mining Plaza,"Scans indicate that the Sandigger has a dual-brain nervous system. Both of its heads are capable of attacking, disabling, and digesting prey. It fires globs of acidic digestive fluid at prey to cripple them and begin the digestion process. Its hide is very durable and resistant to weapons fire: only its exposed eyes can be damaged.",No,Also located in Mining Station B,https://www.metroidwiki.org/wiki/File:Sandigger_mp2_Logbook.png,Aether,Ground,Predators
Splinter,Temple Grounds - Industrial Site,"When it isn't hunting, a Splinter will secret a protective cocoon around itself and enter a state of hibernation. Localized seismic disturbances will awaken the Splinter, triggering a state of blood frenzy in the process. While in this state, a Splinter emits pheromones that trigger frenzy in all nearby Splinters. Disturbing a pack of Splinters is not advisable.",No,Located in multiple areas of the Temple Grounds,https://www.metroidwiki.org/wiki/File:Splinter_mp2_Logbook_01.png,Aether,Ground,Predators
Sporb,Torvus Bog - Abandoned Worksite,"The hanging Sporb sits patiently until a potential meal is detected. A burst of poisoned needles is the Sporb's primary means of attack. It can also extend its body over short distances, gripping small targets within its powerful jaws. Sporbs wither when exposed to dark energy, making them vulnerable to other weapon systems.",No,Also located in Underground Tunnel,https://www.metroidwiki.org/wiki/File:Sporb_mp2_Logbook.png,Aether,Ground,Predators
Brizgee,Agon Wastes - Mining Station A,"The Brizgee's tail ends in a venomous barb, which it conceals underneath a hard-packed layer of fused sand. A series of sharpened ridges along its body discourages most predators: those foolish enough to harass the Brizgee are quickly introduced to its deadly sting.",No,Brizgees can also be found in the Catacombs Access,https://cdn.wikimg.net/en/metroidwiki/images/thumb/c/cf/Brizgee_mp2_Logbook.png/60px-Brizgee_mp2_Logbook.png,Aether,Ground,Surface Prowlers
Green Kralee,Temple Grounds - Industrial Site,"The cousin to the dimensional-shifting Kralee, the Green Kralee spends its days roaming in search of food. A genetic defect prevents its back crystal from harnessing energy and opening warp portals. It is doubtful the Green Kralee misses this ability.",No,Also located in the Collapsed Tunnel and in Agon Transport Access,https://cdn.wikimg.net/en/metroidwiki/images/thumb/b/b4/Green_Kralee_mp2_Logbook.png/60px-Green_Kralee_mp2_Logbook.png,Aether,Ground,Surface Prowlers
