Entry,First Location,Entry Text,Limited Scan?,Notes,Image,category,majorCategory,minorCategory
Aether,Agon Wastes - Command Center,"Planet is unstable due to transdimensional flux. Warfare has devastated a good portion of the world's population. Finally, extreme climate shifts have left most of Aether uninhabitable.",No,Found as a hologram,Aether (Echoes).png,Aether Studies,Aether,
Dark Portal,Agon Wastes - Portal Terminal,"Dark Portals allow living beings to travel to Dark Aether without being scattered throughout the interdimensional void. They are unstable, however, and only remain viable for limited periods of time. Some can be reactivated, while others vanish forever once they are used.",No,Found throughout Aether,Dark Portal.png,Aether Studies,Aether,
Energy Controller,Great Temple - Main Energy Controller,"Energy Controllers were built by the Luminoth to regulate Aether's planetary energy. Several wonders are powered by the Energy Controllers, including a weather control grid and a teleportation system. When Dark Aether was born, it too had Energy Controllers, all linked to that world's planetary energy.",No,Also found in the other energy controller rooms of all Light Aether and Dark Aether areas,Energy Controller.png,Aether Studies,Aether,
U-Mos,Great Temple - Main Energy Controller,"Subject is U-Mos, a Sentinel of the Luminoth. Scans indicate numerous beneficial abilities, including heightened reflexes, durability, psionics, and flight. Ability to generate and manipulate energy on par with that of the Chozo. Dating scans suggest an age of 2.15 centicycles. Only known active member of the species: remaining Luminoth locked in protective stasis until crisis is resolved.",No,Can only be scanned in one location,U-Mos.png,Aether Studies,Aether,
Dark Aether,Agon Wastes - Command Center,"Can't determine origin of Aether's ""dark twin."" Contains high levels of Phazon ore. Native bioforms attack on sight.",No,Found as a hologram,Dark Aether.png,Aether Studies,Dark Aether,
Light Portal,Dark Agon Wastes - Portal Site,"Light Portals allow living beings to travel to Aether without being scattered throughout the interdimensional void. They are unstable, however, and only remain viable for limited periods of time. Some can be reactivated, while others vanish forever once they are used.",No,Found throughout Dark Aether,Light Portal.png,Aether Studies,Dark Aether,
Phazon,Agon Wastes - Main Reactor,Volatile ore with biomutagenic properties. Origin point of Phazon unknown. First detection of element on planet Tallon IV. Used by Space Pirates to produce vast levels of energy. Bioforms exposed to Phazon without proper shielding will eventually undergo radical mutation.,No,Also found in several other locations in Dark Aether,Phazon mp2 Logbook.png,Aether Studies,Dark Aether,
Metroid Cocoon,Agon Wastes - Biostorage Station,"The Space Pirates transport young Tallon Metroids in an organic ""cocoon"" designed to sustain the small creatures. Each cocoon can support numerous infants for several cycles. The creatures are normally content to remain in the cocoon, but will emerge when they detect the presence of Phazon.",No,None,Metroid Cocoon mp2 Logbook.png,Biology,Cocoons,
Splinter Cocoon,Temple Grounds - Industrial Site,"Splinters will enter their protective cocoons when tired or sated. The cocoon is durable, but can be destroyed by weapons fire. Destroying a cocoon will kill the Splinter inside: when this occurs, the dying Splinter will emit a shriek that will alert all nearby Splinters in hibernation. This will drive them into battle frenzy as a defense mechanism.",No,Can later be found in the Temple Assembly Site and Trooper Security Station,Splinter Cocoon.png,Biology,Cocoons,
War Wasp Hive,Temple Grounds - Sacred Path,"War Wasps require considerable amounts of sleep after a long hunt. They weave a protective hive from organic fluids they secrete themselves, then crawl inside to rest. Though safe from most predators, the hives can be damaged by explosive weapons.",No,Can be found in multiple parts of the Temple Grounds and Agon Wastes,War Wasp Hive (Echoes).png,Biology,Cocoons,
Dormant Ingclaw,Sky Temple Grounds - Phazon Grounds,"Ingclaws occasionally enter a strange torpor, brought on by constant exposure to the atmosphere of Dark Aether. While in this dream state, the creature does not feed or expel its deadly vapor. Fortunately, its indestructible shell protects it from predators.",No,Only found on the Sky Temple Grounds,Dormant Ingclaw mp2 Logbook.png,Biology,Darklings,
Ingclaw,Dark Agon Wastes - Watering Hole,"The Ingclaw secretes an incredibly durable shell over itself shortly after birth. From that moment on, it remains rooted in place. The creature feeds on the flotsam floating in the atmosphere of Dark Aether, and produces waste in the form of a toxic dark vapor.",No,Also found in the Sky Temple Grounds,Ingclaw mp2 Logbook.png,Biology,Darklings,
Ing Webtrap,Dark Agon Wastes - Battleground,"These creatures respond to commands from the Ing, forming over areas as ordered. They are virtually indestructible, and can only be undone by killing the Ing that commands them.",Yes,Two blockade the doors in the Battleground while Samus battles a horde of Warrior Ing,Ing Webtrap mp2 Logbook.png,Biology,Darklings,
Webling,Dark Agon Wastes - Feeding Pit Access,"Weblings spin a network of energized snare lines, then sit in the middle and wait for prey to get caught in it, much like a spider. A webling is incredibly durable, though it has the darkling weakness to light.",Yes,Must be scanned before being destroyed by the Light Beam,Webling mp2 Logbook.png,Biology,Darklings,
Bladepod,Dark Agon Wastes - Portal Site,"These Ing morph their bodies around useful items to protect them. They rely on larger Ing for protection, as they have no way of fending off enemies. Damage from all weapons will harm them, but light-based weapons are superior.",No,Also found in multiple areas of the Dark Agon Wastes and Sky Temple Grounds,Bladepod.png,Biology,Ing Storage,
Flying Ing Cache,Dark Agon Wastes - Battleground,The Flying Cache was bred and trained to be a living storage unit. It employs a limited stealth field that renders it unseen to most enemies. The fact that the creature must be killed to obtain the object it stores is of little consequence to the Ing.,Yes,Also found in the other locations of Dark Aether with the Sky Temple Keys; at least one must be scanned before all are destroyed,Flying Cache mp2 Logbook.png,Biology,Ing Storage,
Ingsphere Cache,Dark Torvus Bog - Dark Forgotten Bridge,"The Ingsphere keeps useful items in a dimensional pocket. Normally, the Ingsphere will only release the item to its Ing master. The pocket can be breached by destroying the Ingsphere, however. This sometimes destroys the item, but can be worth the risk.",No,Only found in Dark Torvus Bog,Ingsphere Cache.png,Biology,Ing Storage,
Ingworm Cache,Ing Hive - Culling Chamber,"The Ingworms wrap their bodies around useful items to protect them. They are defenseless. They are not terribly durable and have no form of attack, hence their assignment as storage bearers by the Horde.",No,Also found in the Sky Temple,Ingworm Cache.png,Biology,Ing Storage,
Agon Bearerpod,Agon Wastes - Transport to Temple Grounds,The Agon Bearerpod is a hardy desert plantform used by the Luminoth to store useful items and supplies. Its tough epidermis can be destroyed by weapons. It gathers trace amounts of moisture from the air and stores it in a number of chambers throughout its body. It can hold and process this moisture for weeks if necessary.,No,Only found in the Agon Wastes,Agon Bearerpod.png,Biology,Plantforms,
Bloatsac,Torvus Bog - Forgotten Bridge,"The humble Bloatsac contributes to its ecology by producing large amounts of benevolent gases. It thrives in damp enviroments, though it can survive in most climates and terrains. The Bloatsac secretes a venemous sap over its body. Very few creatures can ingest the sap and survive, making it a useful defensive mechanism for the plant.",No,Only found in Torvus Bog,Bloatsac.png,Biology,Plantforms,
Blueroot Tree,Agon Wastes - Save Station A,"The Blueroot tree is common on worlds with desert regions. While an elegant, attractive plant, the tree's leaves are highly toxic. Few species can ingest the leaves and live: many of them (such as the Space Pirates) consider the deadly Blueroot leaf a delicacy.",No,Only found in the Agon Wastes,Blueroot Tree.png,Biology,Plantforms,
