"entry","location","limitedScan","logbook entry","temporary scan","category",
"Aurora Unit 217 ","SkyTown - Aurora Chamber","Yes","Aurora Unit 217 was originally built to support GF Naval Base Demeter, but was assigned to SkyTown base shortly after the Treaty of Elysia was signed 14 years ago. 217 has served admirably in its role as SkyTown administrator. Vast amounts of tactical intel have been delivered from SkyTown under AU 217, along with valuable stellar and interstellar research data. It has interfaced well with the Elysian mechanoids and enjoys a productive working arrangement with them.","Morphology: Aurora Unit 217. Organic supercomputer in charge of maintaining SkyTown.","Galactic Federation",
"Demolition Trooper ","Pirate Homeworld",,"Demolition Troopers are not especially combat savvy and often rely on others to cover them in battle. They are outfitted with explosive weaponry for special missions. When the only way to the objective is straight through everything, the troopers in this unit are called upon to make it happen. While capable of destroying the strongest of barriers, these troopers are not as capable in combat as traditional marines.",,"Galactic Federation",
"Federation Marine ","GFS Olympus, Norion, Pirate Homeworld",,"Federation Marines wear advanced suits of powered armor, allowing them to use potent weapons and resist heavy damage in battle. Few can match them in combat.","Morphology: Federation Marine. Standard GF military personnel. Trained for combat situations.","Galactic Federation",
"Federation PED Marine ","GFS Olympus - Gunnery Station, Flag Bridge, Norion - Cargo Dock A, Pirate Homeworld",,"The Federation has created a system that utilizes Phazon to increase the power of the armor worn by GF Marines. While active, the Phazon unit enhances the attack and defense systems of the Armorsuit.","Morphology: Federation PED Marine. Advanced armorsuit is equipped with Phazon Enhancement Device.","Galactic Federation",
"Female Fleet Trooper ","GFS Olympus - Docking Bay Access, Flag Bridge Access, MedLab Delta","Yes","Fleet Troopers are the backbone of the navy, often ignored in favor of the gallant Federation Marines. Their work isn't always dangerous, and is rarely glamorous. Most are specialists, and possess a great deal of knowledge.","Morphology: Male Fleet Trooper. Federation Navy specialists. Untrained for combat situations.","Galactic Federation",
"Fleet Admiral Dane ","GFS Olympus - Flag Bridge","Yes","Fleet Admiral Castor Dane is known for his utmost dedication to protecting the Federation from its enemies. He is stern and aggressive, and has a strong dislike for the Space Pirates. Rumor has it they orphaned him at an early age, an act he still seeks to avenge.","Morphology: Fleet Admiral Dane. Commander of the G.F.S. Olympus, the flagship of the GF Starfleet.","Galactic Federation",
"Fleet Mechanic ","GFS Olympus, Norion",,"Fleet Mechanics are responsible for maintaining and repairing all Federation equipment. Because of the vast number of devices and vehicles the Federation utilizes, skilled mechanics are highly sought after and often overpaid.","Morphology: Fleet Mechanic. One of many mechanics who maintains and repairs equipment.","Galactic Federation",
"Halberd-Class Turret ","GFS Olympus","Yes","The GMX-04 Halberd-class turret replaces the dated ""Growler"" turret. It is an effective point-defense system for most security zones. It is lightly armored, and nimble targets can evade its tracking system.","Mechanism: Halberd-Class Turret. Automated turret that tracks targets. Quick movement can evade targeting.","Galactic Federation",
"Hunter Gandrayda ","Norion - Tower Elevator","Yes","Gandrayda possesses the metamorphic ability to assume the form and abilities of other creatures. This talent has led many to seek her out for stealth and reconnaissance missions, despite her powerful combat abilities. Details on the subject's origins and age are unknown, but her unique traits have made her a sought-after Hunter for missions.","Hunter Gandrayda. Metamorphic bioform able to mimic numerous enemy units in battle.","Galactic Federation",
"Hunter Ghor ","GFS Olympus - Security Station, Norion - Cargo Hub, Tower Elevator","Yes","Ghor is a cybernetic bounty hunter, capable of merging his body into large mechanisms. The most common of these is his armorsuit, which doubles as a gunship and provides him with a formidable combat arsenal. The merges are often accompanied by a shift in personality, replacing his normally calm demeanor with an aggressive attitude. He demonstrates a high proficiency with all things mechanical and is often called upon for missions requiring computer infiltration or manipulation.","Hunter Ghor. Capable of merging cybernetic body into larger mechanisms.","Galactic Federation",
