header,header,header,header,header
Acid Rain,Pirate Homeworld - Command Courtyard,"Acid rain is prevalent on the Pirate Homeworld, where the constant pollution has ruined the environment. The caustic effects of the rain are incredibly volatile and will severely damage your suit. Exposure to the rain for any extended period of time will prove fatal. Avoid all contact with the rain.",,,
Black Phazon Crystals,Phaaze,"The hardened exterior of Black Phazon Crystals is resilient to normal attacks. These structures will form naturally over time in areas with high amounts of Phazon. It is commonly mined by Space Pirates for use in producing trooper armor, but loses its darkened appearance in the process.",,,
Blast Shield,"G.F.S. Olympus, Norion, Bryyo, SkyTown, G.F.S. Valhalla, Pirate Homeworld",Blast Shields are invulnerable to all types of weapon fire. Some are engaged when hostiles are detected and will only open once the threat has been eliminated. Others will sometimes remain shut and force you to find an alternative route.,,,
Bomb Slot,"G.F.S. Olympus - Disposal Chamber, SkyTown - Concourse Ventilation, Chozo Observatory, Pirate Homeworld - Command Station","Bomb Slots are powered system-control units. To use, insert the Morph Ball into the slot and detonate a Bomb. This will transfer energy from the slot to the device connected to it.",Yes,,
Bryyo Blue Door,Bryyo,Bryyo doors are carved from heavy stone native to the planet. Each door has been designed with a low-level energy shield. Shooting the shield with any weapon will open the door.,,,
Bryyo Orange Door,Bryyo,Bryyo doors are carved from heavy stone native to the planet. Each door has been designed with a low-level energy shield. This shield is specially designed to only be disrupted by high-temp shots.,,,
Energy Cell,"Norion, Bryyo, SkyTown, G.F.S. Valhalla",Energy Cells were designed as a portable power source for the Federation. Their high power-to-weight ratio makes them ideal for powering a wide variety of equipment. Throughout the environment you may encounter stations that contain an Energy Cell. Removing the cell will leave these stations permanently offline. You will then be able to place the collected Energy Cell into a new station that is empty. Your collected and used Energy Cells are recorded in your Inventory.,Yes,,
Fuel Gel,Bryyo,"Fuel Gel is used to power most modern starships in the cosmos. It is extremely rare, and worlds that produce it tend to be quite prosperous. The exception to this is planet Bryyo, a Federation protectorate--and the largest supplier of Fuel Gel. Proceeds from Bryyonian gel sales go directly to the Federation military forces protecting that sector of space. The sheer value of Fuel Gel is very attractive, and has led to an uprise in piracy over the last 20 years. Today, raids on gel transport convoys are common, especially in frontier regions of space. The Galactic Federation has increased antipiracy operations, and planets with Fuel Gel resources are protected by Federation fleets and ground forces.",,,
Galactic Federation Blue Door,"G.F.S. Olympus, Norion, Bryyo, G.F.S. Valhalla",All Federation doors are designed with a low-level energy shield to prevent accidental activation. Shooting the energy shield will activate and open the door. Blue-colored energy shields may be disrupted by weapon fire of any type.,,,
Galactic Federation Crate,"G.F.S. Olympus, Norion, Bryyo, G.F.S. Valhalla","Galactic Federation Crates are used to store basic supplies. Because they are lightly armored, the crates are unable to withstand basic weapon fire. Destroy them to discover their contents.",,,
Galactic Federation Green Door,"G.F.S. Valhalla - Junction A, Aurora Access",The green-colored energy shield of this type of Federation door can only be disrupted by a high-frequency Beam. Shooting the shield with the proper Beam will activate and open the door.,,,
Galactic Federation Orange Door,Bryyo - Hangar Bay,All Federation doors are designed with a low-level energy shield to prevent accidental activation. Shooting the energy shield will activate and open the door. Orange-colored energy shields may only be opened with high-temperature shots.,,,
Grab Ledge,"Bryyo, SkyTown, Pirate Homeworld","Certain ledges are composed of unique magnetic alloys that react to your suit. By jumping toward and grabbing onto them, a surge of energy will course through your suit and allow you to pull yourself up. Ledges that shimmer green are able to be grabbed on to.",,,
Grapple Swing Point,"Norion, Bryyo, SkyTown","To use the Grapple Swing, lock onto the Grapple Swing Point with Wii Z button.png. Release Wii Z button.png to let go. You can fire your weapons while attached to a Grapple Swing Point.",,,
Half-pipe,"Bryyo - Hidden Court, Ancient Courtyard, SkyTown - Steambot Barracks, Pirate Homeworld - Phazon Quarry",Half-pipes are U-shaped channels with incredibly smooth surfaces that Samus can boost along. Charge the Boost while descending in a half-pipe and then release the Boost as you ascend the opposite side. This will allow you access to areas that are too high to reach otherwise.,,,
Heavy Galactic Federation Crate,"G.F.S. Olympus, Norion, Bryyo, G.F.S. Valhalla",Heavy Galactic Federation Crates are often used to store ammunition and energy supplies. These units are made of very durable metals. Only heavy weapons and explosives can destroy them.,,,
Heavy Phazon Canister,Pirate Homeworld,"Heavy Phazon Canisters are used by Space Pirates to transport large amounts of Phazon. Unlike the smaller versions, these are made and reinforced with durable metals. Only a strong impact will destroy them.",,,
